  dirtag   | routetag 
-----------+----------
 01AX_IB   | 1AX
 01AX_IB   | 28
 01AX_IB   | 31AX
 01AX_IB   | 38AX
 01AX_IB   | 38BX
 01AX_OB   | 1AX
 01AX_OB   | 28L
 01AX_OB   | 31AX
 01AX_OB   | 31BX
 01AX_OB   | 38BX
 01BX_IB   | 1BX
 01BX_IB   | 38L
 01BX_IB   | 9
 01BX_OB   | 1BX
 01BX_OB   | 28L
 01_IB02   | 1
 01_IB03   | 1
 01_IB04   | 1
 01_IB05   | 1
 01_IB06   | 1
 01_IB06   | 21
 01_IB07   | 1
 01_IB08   | 1
 01_IB09   | 1
 01_IB10   | 1
 01_IB10   | 3
 01_IB11   | 1
 01_OB01   | 1
 01_OB02   | 1
 01_OB04   | 1
 01_OB05   | 1
 01_OB06   | 1
 01_OB09   | 1
 01_OB10   | 1
 01_OB11   | 1
 01_OB13   | 1
 01_OB14   | 1
 02_IB1_M  | 2
 02_IB2    | 2
 02_IB2    | 43
 02_OB1_M  | 2
 02_OB2    | 2
 03_IB1_M  | 3
 03_OB1_M  | 3
 03_OB2    | 3
 03_OB2    | 5
 04_IB1_M  | 4
 04_IB3    | 4
 04_OB1    | 4
 04_OB2    | 4
 04_OB3    | 4
 04_OB3    | 5
 05_IB1    | 5
 05_IB2    | 5
 05_IB3    | 5
 05_IB4    | 5
 05_IB5    | 5
 05_OB1    | 5
 05_OB2    | 5
 05_OB3    | 5
 05_OB4    | 5
 05_OB5    | 5
 05_OB6    | 5
 05_OB7    | 5
 06_IB2    | 6
 06_IB5    | 6
 06_OB1    | 6
 06_OB4    | 6
 07_IB4    | 7
 07_IB7    | 7
 07_OB2    | 7
 07_OB7    | 7
 09AX_IB   | 9AX
 09AX_IB   | 9X
 09AX_OB   | 14L
 09AX_OB   | 9AX
 09BX_IB   | 9AX
 09BX_IB   | 9BX
 09BX_OB   | 9BX
 09BX_OB   | 9X
 09X__IB   | 29
 09X__IB   | 9
 09X__IB   | 9AX
 09X__IB   | 9BX
 09X__IB   | 9X
 09X__IBS  | 14X
 09X__IBS  | 9AX
 09X__IBS  | 9BX
 09X__IBS  | 9X
 09X___OB  | 9AX
 09X___OB  | 9BX
 09X___OB  | 9X
 09X___OBS | 9X
 09_IB_1   | 9
 09_IB_2   | 1BX
 09_IB_2   | 9
 09_IB_7   | 9
 09_IB_8   | 9
 09_IB_9   | 9
 09_OB_1   | 9
 09_OB_5   | 9
 09_OB_6   | 48
 09_OB_6   | 9
 108_IB01  | 108
 108_IB03  | 108
 108_OB01  | 108
 108_OB01  | 38BX
 108_OB02  | 108
 10_IB1    | 10
 10_OB1    | 10
 10_OB1    | 31BX
 12_IB1    | 12
 12_IB2    | 12
 12_IB2    | 1AX
 12_IB3    | 12
 12_IB4    | 12
 12_OB1    | 12
 12_OB2    | 12
