 route_id | route_short_name 
----------+------------------
 1002     | 2
 1003     | 2
 1004     | 2
 1006     | 6
 1007     | 7
 1016     | 016AX
 1017     | 016BX
 1020     | 41
 1028     | 28
 1029     | 28L
 1030     | 30
 1031     | 101X
 1032     | 101X
 1033     | 101X
 1034     | 101X
 1038     | 38AX
 1039     | 38BX
 1041     | 41
 1045     | 45
 1059     | POWELL-MASON
 1060     | POWELL-HYDE
 1071     | 71
 1072     | 71L
 1080     | 80
 1081     | 81
 1082     | 82
 1093     | N
 1094     | J
 1101     | J-OWL
 1102     | K-OWL
 1103     | L-OWL
 1104     | M-OWL
 1105     | N-OWL
 1106     | T-OWL
 1109     | 9AX
 1110     | 9BX
 1111     | 9X
 1114     | 14X
 1115     | 14L
 1197     | S
 1198     | L
 1199     | M
 3669     | 1
 3671     | 5
 3673     | 9
 3674     | 10
 3675     | 12
 3676     | 14
 3678     | 17
 3679     | 18
 3680     | 19
 3681     | 21
 3682     | 22
 3683     | 23
 3684     | 24
 3685     | 26
 3686     | 27
 3688     | 29
 3690     | 31
 3691     | 33
 3692     | 35
 3693     | 36
 3694     | 37
 3696     | 39
 3698     | 43
 3699     | 44
 3700     | 47
 3702     | 49
 3703     | 52
 3704     | 53
 3705     | 54
 3706     | 56
 3708     | CALIFORNIA
 3709     | 66
 3710     | 67
 3711     | 074X
 3712     | 76
 3715     | 88
 3716     | 89
 3717     | 90
 3718     | 91
 3719     | 92
 3722     | 95
 3725     | 98
 3727     | 108
 3731     | 130X
 3732     | 138L
 3868     | 38
 3891     | 48
 4003     | T
 4004     | K
(91 rows)

